InPlay,Velo,SpinRate,HorzBreak,InducedVertBreak
0,92.1,2030,12.97,13.55
1,94.93,2192,1.29,18.86
0,94.65,2452,-0.19,17.37
0,96.94,2122,7.89,17.62
0,92.9,2175,16.25,10.02
0,94.97,2433,8.22,16.5
0,92.25,1997,6.07,14.1
1,95.08,2566,4.41,17.25
0,91.73,2239,12.85,8.58
1,94.01,2116,7.51,15.17
1,86.74,1867,-0.56,9.7
0,95.68,2189,2.88,19.42
0,90.45,2208,10.08,16.97
0,91.92,2397,5.83,16.86
0,90.85,2519,16.24,13.1
1,96.61,2086,6.08,9.91
1,94.54,2452,13.84,15.9
0,92.14,2308,9.27,15.23
0,93.73,2201,17.29,14.28
0,93.61,2513,5.69,16.64
0,92.96,2229,7.13,17.36
0,92.37,2180,14.52,14.67
0,91.4,1931,3.09,11.18
0,96.63,2359,12.29,16.14
0,91.53,2106,7.27,13.28
0,95.85,2556,8.07,12.23
0,91.7,2552,15.82,12.06
0,95.18,2373,8.98,16.49
0,93.14,2067,-0.42,18.4
0,89.9,1796,16.47,6.23
0,93.59,2100,18.08,10.31
0,97.24,2525,3.95,18.46
0,92.29,2188,2.43,17.34
0,89.57,2331,11,18.62
0,94.66,2125,9.08,12.8
0,93.53,2376,6.59,15.47
0,93.2,2131,13.38,12.3
0,96.58,2309,8.94,15.29
1,89.45,2144,2.61,18.81
1,92.92,1873,16.7,-0.72
0,95.4,2104,15.53,10.35
0,96.8,2362,5.68,17.6
0,96.34,2274,14.93,15.23
1,94.56,1994,12.45,4.5
1,93.99,2132,9.01,12.57
0,96.26,2293,10.8,12.29
0,92.96,2336,2.19,17.53
0,93.66,2420,1.52,16.48
1,95.37,2325,8,16.59
1,93.4,2073,3.66,19.4
0,99.46,2506,7.89,15.22
0,95.96,2372,9.3,15.5
1,93.66,2259,12.07,8.12
0,95.15,2499,9.74,20.27
1,95.1,2370,6.74,17.03
0,96.2,2451,9.44,18.39
0,93.02,2435,8.07,17.94
1,96.26,2078,14.41,16.18
1,94.15,2005,10.5,15.36
0,93.35,2256,13.28,16.64
0,92.16,2034,5.82,17.79
1,89.33,2165,1.92,15.41
0,99.5,2503,11.99,16.3
0,94.09,2218,12.62,15.64
0,92.55,2342,15.92,13.18
0,89.49,2063,16.7,3.07
0,90.92,2115,15.08,6.97
0,95.97,2319,8.36,15.05
0,94.97,2328,17.68,7.18
0,92.09,1889,15.09,0.45
1,92.16,2275,12.15,7.51
0,94.26,1828,13.43,11.3
0,92.82,2221,15.64,10.03
0,96.44,2504,17.35,8.9
1,92.66,1954,6.67,12.11
0,90.39,2298,16.57,9.69
1,92.06,2159,13.99,6.83
1,98.76,2288,10.9,16.51
1,90.57,1939,13.39,12.82
1,93.64,2023,15.57,8.67
1,90.5,1977,15.98,9.99
0,97.28,2089,7.11,18.48
0,97.56,2275,10.33,18.96
0,93.33,2148,14.22,15.23
0,92.8,1929,14.05,4.86
0,94.36,2130,14.19,6.77
1,91.36,1850,15.89,-0.05
1,97.29,2247,10.28,13.66
0,96.83,2171,6.83,16.25
0,93.41,2107,6.57,16.16
0,94.2,2340,3.22,18.01
1,94.14,1959,17.63,6.63
0,89.83,2022,9.69,13.83
0,92.64,2289,5.98,20.51
0,92.62,2387,6.38,17.17
0,96.8,2099,6.88,14.56
1,94.51,2233,10.1,14.73
0,94.88,2272,1.11,18.99
0,94.2,2318,16.42,9.42
0,93.15,2240,10.15,15.26
0,97.2,2269,6.81,16.22
0,93.23,2397,15.38,5.24
1,94.27,2003,13.49,15.51
1,95.14,2084,8.42,16.9
0,92.47,1750,12.36,13.22
1,95.56,2232,9.54,16.08
0,93.32,2177,0.99,19.46
1,93.91,2285,6.96,18.6
0,97.73,2420,10.03,17.18
0,95.49,2398,11.43,21.13
0,94.47,2361,12.58,12.4
0,96.33,2228,12.47,16.48
1,94.69,2059,7.41,16.48
1,95.47,2187,13.04,14.41
0,94.33,2310,13.26,15.71
1,95.12,2254,4.79,16.22
0,93.3,2164,8.36,14.97
1,94.04,2190,8.96,14.17
1,91.76,2132,13.74,14.17
0,97.77,2223,9.1,15.93
0,94.76,2157,1.85,15.15
1,94.63,2050,8.37,17.44
0,90.77,2012,9.17,8.14
1,93.08,2092,15.22,10.8
0,92.27,2088,4.5,11.9
0,93.23,2348,17.25,13.57
0,91.78,2293,6.27,21.61
1,96.27,2328,6.43,17.8
0,94.84,2457,6.3,15.98
1,93.71,2566,2.69,19.22
1,98.12,2209,13.37,12.87
1,94.97,2207,14.52,12.21
0,96.84,2126,12.61,14.8
1,93.53,2265,18.35,9.11
0,93.21,2032,19.3,8.71
0,90.76,2071,17.32,6
1,92.68,2531,8.3,19.14
0,96.99,2449,18.26,7.2
0,97.11,2228,16.84,7.24
0,94.73,2284,14.55,12.34
1,93.74,2461,6.56,17.94
0,96.65,2207,14.64,-1.6
1,90.95,2633,9.12,19.51
0,95.99,2555,8.03,22.91
1,94.76,1929,5.68,14.77
0,87.9,2258,4.71,15.9
1,91.65,2572,5.32,15.5
0,94.67,2373,6.09,14.28
1,91.79,2131,18.67,5.28
0,95.38,2389,4.68,8.14
0,98.97,2527,7.88,16.48
0,93.61,2018,16,12.61
0,93.97,2109,3.03,18.71
0,94.1,2271,0.76,11.76
1,98.06,2292,13.05,16.73
0,94.14,2540,0.65,9
0,89.92,2200,1.72,21.74
1,90.51,2109,12.77,9.5
0,96.15,2495,18.62,10.44
1,89.53,2306,1.47,17.08
0,97.71,2415,9.93,15.95
0,89.27,2251,2.17,18.4
1,95.28,2446,14.83,9.42
0,96.37,2249,5.09,16.84
0,95.76,2240,3.06,17.83
0,92.68,2415,5.26,16.85
0,94.76,2257,11.41,9.61
0,92.34,2497,7.86,24.23
0,95.88,2539,5.39,19.49
0,95.41,2365,12.67,13.11
0,90.85,2152,9.97,16.41
0,91.07,2043,17.79,7.43
1,96.94,2077,5.58,16.65
0,93,2340,7.58,11.93
1,97.11,2177,18.72,12.91
0,93.5,2469,3.13,18.13
1,98.01,1824,6.89,11.25
0,96.35,2320,9.66,17.66
0,98.04,2092,7.6,16.78
0,93.4,2244,8.37,16.34
0,96.91,2205,13.8,14.72
0,91.71,2299,11.2,12.62
1,92.69,2239,15.88,10.39
0,94.37,2323,3.89,19.51
1,93.24,1994,14.63,1.87
0,94.1,2271,12.11,14.47
0,98.18,2297,16.01,10.38
0,88.57,1858,8.74,13.28
0,95.21,2018,9.73,12.86
0,96.81,2440,4.2,22.51
0,86.17,2284,15.71,7.66
0,94.49,2477,7.22,16.68
0,96.43,2347,10.94,12.61
1,92.85,2007,7.42,11.6
0,91.41,2107,11.04,16.7
1,95.83,2585,7.57,18.22
1,93.64,2244,13.4,7.13
0,94.89,2388,6.79,17.63
0,96.14,2181,8.61,14.47
0,97.05,2408,11.23,20.6
1,88.93,2090,12.32,7.15
0,95.13,2407,9.06,15.93
0,95.42,2441,8.09,14.36
0,93.05,2320,4.81,16.63
0,94.38,2305,12.43,8.26
0,95.34,2153,2.28,16.94
0,97.37,2289,14.7,11.4
0,97.39,2118,14.29,13.1
0,98.01,2432,8.13,16.83
0,93.2,2133,5.49,17.56
0,94.82,2279,7.94,20.38
0,94.86,2648,9.5,18.92
0,93.69,2621,4.48,11.86
0,94.2,2043,7.62,14.04
0,93.42,2277,6.81,16.07
0,94.48,2666,12.21,17.27
0,91.84,2245,13,17.13
1,92.98,2589,10.31,15.27
1,95.39,2470,7.9,18.4
0,94.21,2240,6.62,15.84
0,91.66,2084,1.33,13.64
0,94.15,2173,15.09,-3.15
0,92.2,2395,5.04,19.12
0,95.49,2556,4.03,16.95
0,94.18,2133,13.33,16.45
0,92.7,2369,15.02,11.07
0,95.07,1998,16.51,6.32
0,92.35,2146,4.9,11.6
1,88.14,2214,13.73,10.3
0,98.65,2181,18.6,3.86
0,94.62,2621,0.69,13.85
0,96.6,2046,10.74,12.7
0,95.07,2224,18.61,7.21
0,92.15,2186,4.8,15.7
1,92.49,2058,6.33,15.91
0,92.36,2454,5.13,16.69
1,91.33,2449,7.24,3.47
0,95.32,2466,12.73,19.41
1,92.86,1751,6.49,7.77
1,91.97,1892,8.29,16
0,96.49,2232,18.55,6.28
0,90.82,2015,12.78,9.26
0,92.94,2176,7.14,7.75
0,94.59,2372,12.15,11.92
0,96.54,2146,18.99,6.39
0,98.78,2358,11.26,15.55
0,94.81,2127,7.64,13.61
0,94.74,2345,-1.95,10.91
0,97.52,2438,5.23,17.77
0,94.83,2385,9.08,14.94
0,92.88,2255,8.08,17.33
0,99.03,2237,11.84,13.7
0,94.68,2091,18.59,13.44
0,98.6,2283,3.75,17.25
0,94.39,2469,10.97,17.77
1,96.26,2267,13.83,14.7
1,92.6,2259,4.04,19.15
1,88.07,2021,15.41,9.43
0,94.21,2210,5.46,18.55
1,93.74,2379,10.83,17.74
0,96.7,2473,8.4,19.2
0,95.18,2330,9.39,17.37
0,94.71,2323,12.4,10.14
0,95.65,2485,14.34,17.99
0,96.41,2346,13.81,13.82
1,89.82,2106,18.98,4.21
0,94.93,2429,11.52,19.86
0,95.17,2201,4.55,18.26
0,89.17,2050,13.11,7.58
0,91.46,2181,10.08,15.62
0,96.47,2522,3.62,18.66
0,94.4,2477,5.69,19.83
0,94.75,2384,4.28,17.71
0,97.08,2568,4.14,15.6
0,92.13,2157,8.47,16.3
1,95.37,2336,2.95,14.62
0,95.26,2519,1.76,11.94
0,92.77,2173,10.29,15.11
0,94.88,2205,9.65,19.26
1,93.05,1980,12.66,7.13
0,97.93,2144,7.31,13.46
0,94.01,2036,14.8,7.62
0,95.62,1993,2.44,18.36
0,91.01,1935,16.03,2.53
0,88.39,2278,9.85,8.66
0,87.55,1838,9.08,10.36
0,93.07,2476,9.18,17.63
1,96.03,2374,11.67,15.31
0,95.09,2050,6.59,17.81
1,93.13,2197,7.22,11.04
0,94.45,2091,5.75,11
0,95.81,2254,17.58,7.02
1,91.43,2214,12.1,13.4
0,96.54,2334,6.72,15.24
0,93.51,2226,5.47,20.83
1,93.34,2220,12.26,15.45
0,97.4,2237,8.73,18.24
0,92.22,2326,3.47,15.22
1,71.46,1796,6.82,15.94
0,92.17,2502,-0.08,22.67
0,88.06,2277,9.37,16.77
1,89.82,1939,14.52,11.01
0,90.99,1860,14.96,8.51
0,92.76,2261,5.4,14
0,94.63,2132,7.86,15.93
0,92.88,2366,3.95,19.21
0,92.55,2207,18.04,3.82
1,96.65,2241,9.18,13.75
0,92.86,2163,9.13,20.83
1,96.3,2409,7.19,17.86
1,95.04,2325,10.92,17.52
0,92.45,1987,7.21,15.73
0,92.39,2261,12.08,11.36
0,94.6,2249,12.69,11.1
0,93.47,2526,2.8,20.23
0,92.51,2359,15.93,11.25
0,97.53,2394,7.34,16.45
0,96.41,2286,8.61,14.3
0,91.09,2218,-0.17,18.07
0,95.12,2342,6.87,20.46
1,90.46,2267,7.86,20.76
0,90.62,2083,14.47,11.9
1,95.88,2100,17.47,2.59
0,95.12,1954,6.13,16.85
0,93.16,2390,11.63,13.83
1,97.54,2449,4.96,14.68
0,94.68,1996,5.22,16.7
0,99.77,2150,14.98,11.11
0,95.01,2554,7.38,16.24
0,96.08,2493,1.67,15.67
0,95.62,1988,16.44,4.24
1,90.41,1858,13.42,6.72
1,97.83,2540,12.6,18.42
1,94.37,2515,11.81,18.43
1,86.16,1961,17.86,11.81
0,96.06,2263,6.62,18.47
0,99.88,2073,17.45,9.36
0,93.81,2304,4.99,17.03
1,93.95,2266,4.9,17.62
0,94.56,2344,3.71,17.28
0,94.37,2311,2.32,11.97
0,90.66,2476,-3.03,10.2
0,95.96,2316,7.91,18.11
0,95.53,2155,7.43,13.23
0,94.47,2306,10.29,17.95
0,96.55,2409,6.6,18.63
0,92.2,2028,18.68,7.5
0,95.15,2294,6.21,18.71
0,89.93,2205,1.86,9.19
1,90.83,2012,8.63,14.49
0,93.2,2404,8.86,19.53
1,93.01,2237,0.72,14.89
1,95.13,2035,5.25,10.38
0,93.74,2203,12.49,13.83
0,95.26,2188,3.58,14.89
1,96.21,2534,8.43,17.5
0,95.18,2414,9.27,16.65
1,94.86,2386,5.31,17.09
0,94.74,2249,9.3,18.69
0,94.87,2289,3.33,18.11
0,94.73,2574,4.25,20.79
0,94.11,2218,9.88,17.5
0,94.69,2126,7.94,16.17
0,93.97,2470,5.88,13.07
1,94.3,2580,13.26,17.64
0,92.85,1650,7.09,8.83
0,91.91,2052,12.5,15.7
0,91.94,2188,15,12.42
1,93.72,2089,10.3,14.42
0,96.99,2110,13.98,13.26
0,94.59,1970,16.34,5.04
0,91.78,2084,15.7,10.92
1,91.79,2129,3.85,18.64
1,89.44,2125,5.5,13.39
0,94.71,2184,17.69,10.61
0,95.5,2157,18.18,8.74
0,93.14,2123,10.29,17.77
0,97.24,2423,-0.07,19.36
0,97.81,2266,14.1,12.07
0,94.28,2328,1.95,19.99
1,89.41,2321,9.29,16.6
0,93.61,2021,5.85,16.43
0,91.8,2241,5.25,17.54
0,91.36,2336,15.52,16.43
1,93.49,2748,3.1,12.7
1,96.44,2365,3.58,16.42
1,96.42,2248,16.17,10.84
0,94.56,2307,1.91,18.76
0,92.1,2040,12.42,4.84
0,92.52,2398,9.06,22.58
1,91.45,2205,14.29,4.89
0,95.24,2587,10.3,19.94
0,94.07,1834,13.69,10.61
0,93.59,2188,14.75,10.62
1,93.3,2424,8.19,19.55
0,93.03,2415,4.64,14.16
0,98.17,2519,2.7,13.19
1,98.13,2315,9.72,15.02
0,91.7,1846,7.97,10.87
1,91.77,2062,12.39,8.77
0,93.14,2113,8.11,2.44
0,90.59,1894,3.53,9.96
0,97.83,2633,3.87,17.09
0,95.92,2585,1.54,11.81
0,90.97,2210,13.8,11.87
0,88.13,1923,8.29,13.29
1,95,2383,9.9,12.2
0,94.75,2039,7.63,15.71
1,90.81,1987,8.42,15.31
0,91.99,2513,7.03,20.03
0,99.57,2350,5.49,18.69
0,95.69,2274,16.1,10.23
0,92.37,2100,14.26,13.79
1,95.43,2341,12.97,5.38
0,88.95,2371,7.04,18.41
1,90.65,2355,17.61,15.8
0,99.51,2403,2.48,16.26
0,97.11,2473,4.71,21.35
1,94.37,2227,1.45,11.2
0,99.43,2510,6.59,17.79
0,93.81,2660,9.99,14.75
0,95.19,1870,17.5,8.33
0,94.31,2416,18.77,6.7
1,94.74,2469,3.68,12.24
0,90.18,2148,18.51,6.28
0,96.17,2235,2.86,19.31
0,92.74,2117,9.89,16.25
0,97.06,2301,14.23,15.59
1,93.72,2243,13.1,13.12
0,90.41,2249,16.15,11.58
0,97.83,2485,4.27,16.04
0,93.84,2183,10.25,13.46
0,93.95,2089,11.38,13.82
0,92.5,2754,10.89,23.18
0,95.05,2377,6.67,16.94
1,97.25,2333,11.33,15.65
0,95.06,2669,0.44,12.41
1,92.23,2250,4.95,16.78
1,96.91,2573,2.62,18.13
1,94.5,2498,14.14,17.34
0,94.78,2110,11.9,18.47
0,92.05,2127,4.73,18.28
1,94.36,1949,17.82,8.47
0,96.2,2413,19.45,17.85
1,93.57,2279,12.07,20.26
1,94.39,1846,14.93,5.48
0,92.6,2233,12.6,13.89
0,92.05,2329,13.36,18.43
0,95.56,2111,15.59,10.03
1,95.73,2418,4.13,14.93
0,96.34,2185,5.34,14.29
0,96.8,2640,2.62,19.73
0,91.12,2181,4.96,18.95
1,92.27,1870,16.25,-4.83
1,96.05,2205,14.12,14.27
1,92.87,2316,1.44,16.95
0,95.45,2353,11.29,14.67
0,97.97,1912,7.15,11.33
0,94.79,3013,17.38,-1.36
0,94.39,2086,0,19.01
0,91.63,2232,15.06,3.36
0,95.32,2181,14.51,8.07
0,92.24,2113,9.11,17.74
1,97.34,2263,15.17,11.36
0,87.98,1878,14.93,9.54
1,96.49,2154,6.64,16.49
0,97.93,2589,9.59,17.91
1,94.35,2660,4.26,19.93
0,91.33,2098,11.71,14.71
0,95.36,2378,4.56,15.99
1,97.32,2616,4.9,16.49
1,91.52,2172,12.74,2.17
0,95.38,2723,8.52,19.04
0,93.16,2329,11.08,17.13
0,97.76,2258,11.68,15.62
1,89.13,2026,1.41,16.26
0,95.16,2358,5.74,19.56
1,95.07,2131,1.83,12.55
0,96.44,2227,18.52,8.22
0,93.58,2315,1.75,9.66
0,95.21,2015,13.43,10.44
0,92.04,2023,2.96,18.02
0,93.61,2317,5.03,17.15
0,92.81,2269,6.59,18.66
0,91.82,2281,11.8,17.52
1,98.19,2200,17.76,6.18
0,92.97,2323,7.47,21.71
1,90.72,2268,3.91,21.12
0,94.65,2562,13.32,20.53
0,94.64,2431,8.89,20.02
0,94.16,2299,2.79,17.7
1,93.33,2100,3.4,15.95
0,92.02,1716,17.1,3.21
1,92.16,2449,12.48,18.15
0,93.96,2344,12.27,19.65
0,95.05,2292,14.26,16.76
1,95.35,1925,13.52,12.97
0,94.88,2275,17.88,7.73
0,93.86,2600,8.27,19.38
0,94.35,1999,7.14,4.44
0,92.26,2409,7.69,14.72
0,92.36,2179,5.6,18.16
1,95.71,2367,14.58,13.98
0,92.86,2482,0,20.77
1,93.02,2026,15.39,11.2
0,94.45,2262,7.01,15.02
1,97.45,2309,16.8,5.97
0,95.07,2159,9.82,16.01
1,96.85,2110,13.93,14.96
1,88.35,2084,2.85,13.86
0,94.24,2444,3.93,17.88
0,92.66,2339,11.67,10.76
0,96.51,2207,11.14,14.06
0,92.57,2235,3.71,19.17
0,95.39,2452,8.02,17.89
0,96.87,2350,7.34,19.12
0,87.58,1757,11.21,5.15
0,90.91,2238,16.46,12.53
0,91.85,1916,7.87,14.19
1,97.25,2053,12.33,15
1,96.66,2515,2.82,17.01
0,94.47,2413,10.58,17.66
0,91.84,1981,10.89,14.08
1,94.4,2260,12.4,15.24
0,93.06,2239,3.59,17.41
0,87.75,2361,-0.05,21.2
0,94.71,2613,4.19,12.05
0,90.65,1935,17.29,3.86
0,94.08,2041,4.12,11.58
1,93.13,2212,14.29,17.2
0,96.18,2179,14.23,13.93
1,94.42,2351,4.03,15.79
0,93.17,1850,9.25,12.79
1,97.2,2417,7.42,17.73
0,94.35,2240,6.57,16.41
0,92.39,1836,11.7,0.92
0,96.82,2257,13.21,16.06
1,97.84,2603,3.95,19.18
0,94.81,1482,10.45,13.87
0,96.65,2187,6.81,12.54
0,93.79,2251,16.44,9.44
0,94.42,2010,16.05,8.3
0,95.83,2299,2.64,14.26
0,94.23,2834,7.45,21.63
0,92.39,2652,-0.36,16.8
0,96.24,2260,13.54,14.15
0,93.12,2237,3.2,14.32
0,91,2157,16.1,4.76
1,93.52,2460,12.21,18.83
1,93.61,2219,5.44,17.35
0,97.33,2007,8.28,11.04
0,95.79,2466,7.61,18.15
0,95.46,2736,4.9,16.65
0,94.85,2328,8.91,17.62
1,94.48,2308,9.96,20.56
0,95.63,2368,3.13,16.09
0,84.92,1975,15.49,-1.05
0,96.19,2255,5.99,15.66
1,95.13,2094,16.07,9.73
0,99.13,2466,10.77,16.88
1,92.99,2120,16.54,6.58
0,92.55,1924,14.83,9.82
1,95.93,2195,15.2,13.42
0,95.74,2298,7.42,11.32
0,95.06,2043,17.13,13.47
0,93.56,2604,3.27,19.38
0,93.88,2553,11.45,17.05
1,98.24,2486,6.05,19.22
1,92.77,2333,11.46,18.82
0,93.08,2584,2.7,17.41
1,93.98,2262,16.02,16.59
0,93,2244,9,18.96
1,90.63,2103,6.98,16.59
0,94.89,2189,7.84,18
0,93.12,2348,6.42,16.2
0,92.77,2330,9.01,18.82
0,91.1,2055,14.92,5.9
1,97.57,2204,8.58,17.47
0,92.59,2184,-1.81,17.17
1,94.11,2322,7.84,17.89
1,89.6,1884,15.92,-1.33
0,93.43,2202,13.61,15.55
1,92.92,2224,6.97,19.14
0,93.28,2112,7.36,15.98
1,92.5,2167,15.6,11.37
1,93.73,1943,13.06,10.06
0,91.65,2525,2.68,18.81
0,95.75,2283,7.34,20.19
1,92,2347,13.62,14.32
1,95.45,2557,7.41,16.46
0,96.78,2533,3.87,19.67
0,95.53,2098,11.87,13.08
0,95.86,2064,9.73,15.62
0,95.26,2305,14.41,14.6
0,96.62,2364,10.14,16.51
1,92.68,2248,14.26,11.67
0,92.15,1982,7.01,14.55
1,92.17,1959,10.22,14.54
0,94.41,2381,2,18.65
1,93.17,2149,11.71,10.17
0,93.81,2095,18.05,7.75
1,89.32,2261,3.15,20.07
0,91.69,2064,11.23,8.81
0,86.99,1996,15.41,15.45
0,91.63,2276,6.72,17.7
0,90.94,2263,11,12.82
0,94.67,2081,6.63,13.75
0,97.55,2371,6.91,17.05
1,91.56,1972,5.3,13.18
0,96.54,2156,4.4,13.62
0,95.27,2472,9.8,16.57
0,92.3,2430,16.29,14.94
0,96.54,2196,6.94,16.54
0,91.95,2247,1.38,17.76
0,94.7,2178,10.43,14.42
1,92.09,1932,12.29,7.14
0,93.97,2091,10.36,14.81
1,96.27,2308,16.31,8.57
0,92.96,2095,7.54,11.61
0,95.85,2428,5.71,15.46
0,92.42,1988,0.85,17.99
1,93.45,2036,16.06,8.69
0,94.99,2121,7.77,16.55
0,91.47,1950,5.61,13.83
0,93.27,2078,9.73,17.64
0,93.68,2573,10.84,16.78
1,93.08,2255,13.04,14.1
1,95.34,2350,12.03,15.3
0,96.19,2301,10.84,13.17
0,98.16,2413,8.88,14.07
0,96.63,2135,14.17,13.66
0,95.21,2995,10.92,16.67
0,90.4,2155,-0.36,16.93
1,95.52,2194,16.48,5.7
0,88.55,2344,16.31,9.96
0,93.2,2049,9.11,16.95
0,91.61,2046,12.37,10.61
0,91.52,2349,22.18,2.89
0,92.87,1898,15.2,5.39
0,91.62,2278,8.25,19.38
0,95.37,2054,11.3,12.47
0,91.37,2188,5.32,16.15
0,96.34,2334,5.49,16.65
1,92.54,2058,10.61,12.48
1,91.55,2226,5.95,21.41
0,97.22,2289,7.48,17.8
1,90.26,1974,12.13,11.46
1,97.1,2500,14.74,12.92
0,92.35,1988,16.77,4.32
0,95.5,2279,4.77,18.22
0,95.74,2268,6.67,14.72
1,91.73,2107,12.91,5.02
1,92.51,2055,17.25,8.82
0,94.39,2410,4.35,18.69
0,95.19,2312,8.38,18.95
0,93.49,2051,8.92,14.71
1,95.92,2143,12.9,13.21
0,92,1979,16.11,5.52
0,94.25,2277,16.66,19.84
0,98.32,2576,5.28,19.48
0,97.06,2234,15.36,12.78
0,94.74,1873,15.31,10.18
0,90.2,2156,12.86,9.83
0,96.47,2448,14.21,9.04
0,93.81,2012,18.13,8.66
0,94.41,2280,17.14,10.44
0,94.67,2435,1.36,18.41
0,92.25,1955,15.39,-1.1
1,92.46,2342,10.23,5.4
0,90.93,1960,4.97,18.78
1,95.1,2239,16.34,14.14
0,91.73,2306,3.31,15.64
1,94.28,2372,2.85,18.82
1,92.42,1992,11.55,10.54
0,93.79,2304,16.21,14.81
0,91.39,1897,15.4,9.01
0,94.53,2524,8.84,9.71
0,92.29,2378,5.7,21.2
0,96.3,2451,8.24,17.78
0,94.51,2279,10.35,17.9
0,98.17,1995,13.48,11.12
0,95.78,2057,6.84,14.01
0,94.84,2349,7.96,17.06
0,96.63,2368,11.81,13.94
1,93.28,2273,7.93,16.11
0,92.1,2081,3.86,15.04
0,94.52,2201,0.55,18.48
1,96.31,2183,20.14,12.1
1,91.16,2034,5.1,16.61
1,94.82,2454,6.16,18.65
0,89.96,2294,0.13,16.38
1,91.88,2201,3.73,17.26
0,94.09,2446,2.98,19.66
0,94.78,2144,10.71,17.72
1,88.42,1767,13.69,11.34
0,95.92,1960,6.99,14.82
1,96.27,2292,0.82,15.57
1,96.92,2205,4.86,19.24
1,90.85,2006,16.6,8.65
1,91.03,1942,10.31,14.55
0,92.52,2243,7.5,16.12
1,93.19,2211,14.52,9.64
0,96.83,2320,9.92,15.42
0,92.86,2035,12.92,16.78
0,95.28,2149,2.56,18.19
0,96.83,2136,15.37,8.87
1,93.24,2098,11.77,12.7
0,94.45,2076,14.14,17.18
0,93.59,2124,12.63,15.56
0,94.18,2060,5.83,19.51
0,92.85,2391,4.76,17.71
1,92.29,2110,12.31,13.29
1,94.73,2123,15.04,9.36
0,93.43,2501,0.98,16.94
0,94.18,2335,4.62,17.28
0,92.99,2088,11.43,10.85
0,97.53,2403,4.69,15.8
0,93.99,2400,12.18,18.16
0,93.18,2254,7.91,16.11
0,94.61,2265,18.04,3.44
0,92.87,2179,8.33,18.13
0,91.67,2302,3.49,19.53
0,95.51,2195,7.01,9.72
0,93.5,2422,2.33,16.18
0,93.72,2019,9.96,14.36
0,94.22,2132,8.22,16.03
0,94.78,2625,7.08,18.31
0,98.47,2650,5.04,19.51
0,92.93,2255,12.15,16.36
0,96.79,2379,10.06,20.21
0,90.94,2084,6.04,13.23
1,92.63,2004,17.15,12.61
0,93.13,2010,5.03,17.3
0,97.08,2438,8.99,18.34
0,97.67,2361,4.47,17.71
1,95.32,2424,7.14,15.94
0,95.54,2272,5.88,15.8
0,94.39,1998,16.77,5.92
0,94.13,2328,3.87,16.73
0,95.4,2462,9.76,13.46
0,94.05,2245,13.31,17.05
1,98.4,2476,10.8,19.64
0,98.06,2061,14.97,13.2
0,96.82,2083,4.81,16.28
0,92.24,2150,10.29,14.53
0,93.67,2465,17.53,7.24
0,93.16,2463,5.02,15.26
0,92.52,1935,7.77,13.07
1,93.26,2099,10.44,19.55
0,94.99,2472,0.92,15.74
0,90.32,2206,12.94,15.04
0,92.17,2125,7.75,17.69
0,94.27,2200,13.03,9.31
0,95.91,2168,11.93,14.72
0,91.85,2210,12.96,12.59
0,92.88,1987,16,6.8
0,89.27,2044,14.99,7.04
1,99.38,2367,1.24,17.72
1,93.56,2154,3.03,17.26
0,97,2574,2.31,18.37
1,93.65,1995,18.31,4.91
0,95.46,2003,9.97,12.62
1,93.94,2371,14.54,13.37
1,96.87,2151,16.82,3.77
0,94.86,2257,13.46,15.01
1,91.74,2039,9.18,11.59
0,93.23,2045,4.75,18.53
0,96.54,2407,7.41,16.62
1,93.25,2220,7.73,14.99
0,94.44,2697,17.53,13.55
0,96.14,2416,0.23,12.25
0,95.28,2268,11.36,19.42
0,85.19,1742,15.26,7.89
0,97.73,2376,7.08,17.19
0,92.25,2159,16.31,16.12
0,94.25,2067,1.88,17.85
0,88.84,2164,16.1,9.3
1,88.54,1750,12.6,8.48
0,92.13,2233,17.7,2.13
0,92.96,2328,3.39,17.63
0,93.39,2178,13.38,12.06
0,95.17,2256,12.82,13.06
0,96.44,2353,0.87,20.07
0,93.94,1965,5.59,12.31
0,94.11,2500,6.57,15.7
1,95.28,2607,-1.03,8.5
0,91.58,2189,14.74,5.95
1,93.14,1997,9.24,13.92
0,94.03,2346,7.62,19.94
1,90.11,2229,1.34,17.52
0,94.4,2074,17.82,7.71
0,98.85,2472,4.78,17.75
0,96.47,2553,7.78,14.1
0,97.35,2267,9.96,13.14
1,97.09,2460,11.83,17.46
1,94.24,1997,17.09,6.45
0,92.2,2291,8.99,12.94
0,91.04,2425,10.54,13
0,89.47,2234,11.12,13.13
0,91.76,2212,4.31,17.41
0,97.53,2590,11.79,17.77
0,92.36,1979,14.66,4.75
1,94.6,2165,12.08,13.75
0,94.6,2834,7.39,23.42
1,93.84,2491,1.44,16.72
0,95.78,2643,7.15,17.83
0,94.51,2214,20.2,7.28
1,96.87,2169,1.33,12.61
1,94.28,2066,-0.87,18.39
1,94.43,2168,12.51,12.36
0,92.72,2113,12.72,17.32
0,90.48,2209,5.86,17.9
0,96.53,2035,6.65,14.71
0,92.56,2336,5.26,22.3
1,92,1978,12.79,10.75
0,92.23,2157,7.16,18.65
0,93.22,2638,16.09,13.67
1,92.72,1984,16.34,6.01
0,95.89,2572,5.97,18.54
1,94.36,2280,13.15,13.72
1,95.13,2089,2.08,17.77
0,98.17,2338,9,17.9
1,92.66,2183,14.79,3.38
