Velo,SpinRate,HorzBreak,InducedVertBreak
89.12,2512,6.51,19.11
95.91,2416,3.08,16.46
93.28,2380,5.4,21.66
94.87,2423,-2.78,16.54
93.39,2066,12.58,14.92
97.35,2371,7.35,17.93
94.68,2062,7.4,18.78
94.18,2343,10.12,18.99
92.17,2049,10.65,12.18
96.25,2324,16.22,9.29
91.47,2208,18.02,6.67
89.15,2089,9.67,16.07
92.14,2168,17.11,9.22
93.93,2451,8.71,17.63
95.95,2596,2.81,19.32
94.61,2252,13.13,8.51
94.59,2129,3.82,19.06
95.44,2329,10.5,15.18
95.51,2433,6.63,19.2
93.31,2417,13.46,5.92
93.12,2301,4.7,15.5
93.5,2407,1.58,14.15
95.34,2139,8.64,16.7
91.44,2196,9.59,17.94
92.75,2110,13.73,13.44
94.12,2562,10.44,14.55
94.92,2230,9.27,16.35
96.85,2127,13.22,10.52
95.47,2354,4.89,21.71
93.84,2210,10.2,9.15
91.21,2500,5.85,19.27
96.61,2381,7.21,17.68
92.76,2108,3.78,21.97
95.19,2011,10.52,16.93
92.33,2374,7.99,17.6
93.25,2298,13.5,15.84
87.06,1793,15.6,9.31
95.25,2248,4.1,17.61
94.12,1926,7.11,12.79
93.92,2136,13.63,10.17
94.03,2420,9.39,20.84
87.5,1854,12.71,7.68
90.09,2020,10.85,15.26
90.61,2030,4.53,12.43
94.53,2300,14.88,12.92
95.94,2694,8.31,19.83
93.33,1966,13.89,12.48
94.38,2188,3.98,18.64
92.84,2071,13.55,8.3
93.16,1971,5.73,13.27
93.19,2582,6.16,12.44
95.2,1825,9.7,13.66
92.06,2182,-2.58,16.72
94.98,2341,2.82,16.74
95.67,2130,11.73,17.62
88.49,1987,14.22,5
93.41,2199,9.31,13.54
90.25,1990,1.79,18.13
95.45,2287,6.17,13.47
94.23,2343,6.87,15.63
91.87,2165,15.07,11.23
92.13,2344,3.71,17.06
93.87,2050,5.08,14.9
95.29,2301,10.2,15.88
94.56,2124,16.84,9.24
89.27,2155,12.42,8.13
96.96,2299,10.72,14.38
92.21,2404,6.76,6.62
92.8,2968,5.38,19.92
92.06,2124,15.9,9.99
95.38,2408,16.53,11.89
91.62,1917,7.22,15.48
91.84,2338,11.1,12.23
91.75,2079,16.74,6.19
94.65,2382,2.11,15.5
93.51,2312,3.15,18.89
92.34,2257,12.15,8.86
92.8,2174,5.34,16.61
91.94,2186,1.69,15.66
91.36,2077,15.8,7.86
95.97,2606,4.76,18.1
93.01,1997,16.31,11.16
94.39,2170,5.94,18.7
93.64,2109,8.27,18.22
89.03,1954,13.44,9.09
93.31,2252,8.22,15
94.09,2221,6.04,17.43
97.17,2306,14.65,10.95
92.88,2595,10.6,16.56
91.71,2592,7.96,17.24
97.24,2272,11.22,15.08
93.26,2024,7.78,12.69
94.89,2431,1.57,18.87
94.83,2084,17.37,8.74
93.76,2459,-1.74,5.59
93.48,2580,8.35,16.62
90.95,2066,12.55,14.49
92.33,2238,8.4,17.98
92.47,1997,8.7,12.84
95.24,2212,9.68,10.71
94.85,2405,10.58,18.24
96.5,2390,5.39,16.05
97.15,2235,6.3,14.23
92.29,2317,1.97,18.15
91.49,2116,5.77,18.11
96.66,1972,5.46,16.41
96.33,1993,16.03,12.1
95.39,2290,3.21,17.17
92.2,2286,16.68,10.83
96.42,2339,13.86,14.52
95.35,2524,6.32,20.82
95.53,2218,13.5,10.91
93.06,2153,9.23,17.3
95.37,2168,10.41,15.31
96.38,2123,8.74,13.86
96.6,2317,13.74,15.07
98.23,2330,9.28,18.35
99.71,2282,14.1,14.14
90.04,2206,5.51,18.72
96.19,2139,7.8,15.02
94.94,2194,14.68,9.27
90.08,2185,2.62,18.12
91.78,2166,5.22,17.59
93.71,2295,6.16,15.11
95.62,2291,3.05,19.25
94.1,2233,5.36,18.67
97.31,2233,10.68,16.5
99.1,2245,13.08,16.2
91.48,2015,12.8,10.09
89.51,1989,0.82,16.55
93.1,1832,18.55,11.82
92.76,2374,5.66,16.3
92.81,2133,8.79,18.1
91.77,2188,7.32,19.95
91.7,2116,5.87,19.59
92.13,2146,14.86,7.88
94.21,2353,13.41,16.53
92.62,2256,6.37,16.25
96.79,2025,13.96,8.95
91.13,2000,9.69,15.99
97.27,2476,15.18,3.67
91.21,2428,2.41,18.74
96.16,2340,8.59,15.92
94.01,2242,2.87,17.74
94.96,2157,10.05,15.76
92.49,2058,14.61,14.22
97.8,2042,7.8,18.84
94.15,2228,5.08,19.86
97.48,2191,3.53,17.14
92.03,2046,16.39,11.42
98.74,2372,14.66,13.67
93.29,1810,3.88,9.13
95.94,2479,8.06,14.22
95.36,2213,14.74,12.89
92.26,2153,6.72,9.13
94.98,2492,1.48,15.96
91.07,2192,9.04,24.13
93.01,2551,6.84,18.39
92.57,2206,7.43,20.08
93.97,2199,6.33,17.14
90.29,2012,8.33,14.54
94.9,2304,6.61,15.18
93.66,2341,13.92,4.89
88.99,2331,4.52,16.46
95.42,2070,17.93,11.31
96.17,2039,8.57,18.11
95.19,2483,2.5,13.17
91.27,2001,6.26,18.75
92.44,2505,4.17,19.35
96.32,2134,4.56,13.21
89.59,1942,3.86,16.87
96.89,2364,11.42,16.48
92.45,2120,10.76,17.41
95.11,2321,2.98,19.03
96.61,2251,15.72,5.94
95.53,2293,9.77,19.05
95.85,2141,5.22,16.42
96.46,2371,9.11,13.98
97.03,2282,16.58,0.47
96.21,2512,9.31,18.02
90.98,1941,17.14,13.26
92.53,2254,2.73,21.6
88.33,2194,14.92,11.6
92.99,2357,7.58,18.86
90.02,2352,6.77,13.83
96.53,2122,16.71,11.13
92.96,2244,8.86,18.98
95.55,2215,13.25,13.06
95.31,2079,19.5,2.52
94.68,2326,0.49,16.94
98.56,2113,16.62,9.44
88.94,2223,12.88,17.05
95.14,2300,11.83,15.14
96.24,2094,12.88,15.06
98.23,2457,12.89,19.14
88.7,2249,-0.64,18.38
98.49,2115,7.44,16.85
97.08,2574,2.15,19.44
94.48,2018,5.5,11.67
94.17,1785,7.44,13.98
91.21,2384,6.78,16.19
94.63,2107,18.04,5.12
96.05,2059,14.58,3.31
94.42,2430,7.28,13.53
95.27,2158,9.22,16.51
91.88,2079,15.73,6.11
95.82,2246,21.07,10.23
97.53,2326,9.48,16.81
93.37,2617,-2.75,13.77
88.78,2202,0.82,17.34
92.53,2125,17.64,7.29
96.43,2534,12.71,15.07
94.21,1998,4.77,18.56
92.94,2058,14.7,4.62
96.68,2289,9.35,17.32
91.26,2167,1.2,11.76
93.2,2023,11.06,13.39
91.47,2088,3.1,16.63
96.55,2404,6.6,20.83
96.1,2220,14.45,14.11
94.99,2040,8.12,14.53
95.77,2357,7.5,18.63
95.36,2005,18.27,7.65
95.47,2524,10.87,17.6
95.82,2068,7.84,16.1
90.73,2154,19.75,3.67
93.64,2409,2.53,17.45
92.84,2449,9.96,19.32
92.86,2081,15.02,9.03
91.1,2356,2.08,19.64
92.11,2094,6.46,15.36
91.34,2168,9.04,15.96
96.02,2329,15.35,11.27
95.42,2046,3.76,11.53
89.44,2249,-1.07,16.51
96.83,2442,11.48,14.26
96.02,2144,7,13.76
97.77,2340,8.54,16.68
93.94,2400,11.09,17.42
97.05,2298,13.15,11.46
97.04,1997,9.95,15.69
92.79,1958,14.32,4.3
92.42,2086,14.86,7.64
98.12,2483,10.35,18.02
98.13,2301,8.04,15.28
96.39,2379,8.02,15.09
92.63,2116,13.31,10.23
94.73,2576,4.83,15.85
92.77,1982,2.02,8.65
94.22,2385,16.26,12.26
96.36,2458,4.19,18.05
92.61,2575,11.03,15.55
91.5,2246,14.82,11.05
95.81,2288,9.61,16.09
88.98,1978,19.38,7.66
95.9,2290,17.83,14.41
95.99,2066,6.62,17.51
95.12,2213,-1.07,17.82
88.62,2042,20.95,-0.19
92.8,2135,11.26,14.57
91.3,2081,8.64,16.23
96.9,2361,9.22,15.31
95.87,2290,12.54,3.82
93.54,2144,9.75,18.58
96.72,2152,5.53,16.94
92.9,2524,12.19,16.06
95.64,2332,8.31,16.29
94.12,2440,10.45,18.03
98.33,2304,17.13,6.38
91.9,2565,3.77,13.13
97.94,2503,3.18,18.6
93.58,2062,6.04,22.81
95.69,2135,17.66,6.17
95.05,2005,12.75,8.33
91.73,2203,11,14.86
92.01,2178,8.93,18.46
92.89,2229,16.4,16.38
91.41,1972,12.58,12.71
92.2,2432,12.43,15.05
96.34,2252,5.22,18.41
96.85,2002,15,7.7
93.67,2174,6.73,13.89
93.23,2189,9.97,16.77
95.5,1894,4.96,16.41
94.95,2260,15.7,13.46
96.12,2274,10.51,12.88
94.75,2133,7.72,14.76
92.63,2215,7.09,18.97
100.38,2508,15.69,14.49
91.73,2405,5.91,12.81
88.42,2145,1.73,18.26
93.49,2315,9.58,17.1
92.4,2201,9.72,12.4
95.21,2245,2,15.73
95.68,2408,11.48,18.77
96.6,2391,16.93,4.17
94.01,2393,7.82,19.06
93.6,2105,18.33,3.96
94.29,2299,-0.07,10.8
97.01,2318,11.42,15.37
93.72,2006,6.27,16.46
93.76,2372,18.5,11.26
92.79,2179,16.31,10.41
96.08,2452,6.88,19.21
93.77,1810,18.68,-1.75
93.49,2310,11.15,4.98
95.87,2443,-1.24,18.73
94.85,2033,11.56,13.69
96.15,2486,9.74,18.12
92.77,2445,4.69,17.51
91.93,2240,14.69,14.48
94.34,2192,-1.77,5.62
89.71,1936,10.78,5.35
92.74,1918,8.37,9.93
98.7,2101,11.1,15.73
96.89,2359,7.17,17.65
94.54,2333,2.89,15.35
93.3,2266,1.32,16.78
95.91,2341,7.39,16.8
95.7,2393,14.26,7.63
94.39,1944,14.36,11.03
97.55,2255,9.88,16.03
93.35,2125,3.67,12.33
94.58,1976,14.83,10.19
93.91,2095,17.48,8.04
93.15,2217,8.27,14.15
91.57,2141,11.83,15.07
92.91,1957,14.46,10.31
94.34,2015,11.05,15.07
97.34,2312,8.05,14.86
93.93,2534,4.01,11.54
93.67,2063,16.71,1.96
94.39,2224,3.32,15.39
96.23,2464,7.12,18.2
93.62,2354,8.66,18.53
96.3,2316,7.37,18.62
93.81,2331,10.22,16.79
93.47,1839,13.37,12.75
91.04,2101,14.15,7.43
97.6,2740,5.46,19.84
94.04,2357,7.42,14.87
91.61,2055,7.84,19.12
92.81,2241,16.75,6.78
96.52,2180,14.32,11.68
84.66,1696,11.89,9.79
92.24,2027,11.85,5.09
93.99,2105,5.47,8.69
93.36,1789,13.1,-4.35
96.11,2395,16.63,11.65
91.86,2160,15.72,5.08
91.81,2181,9.96,16.25
96.06,2364,8.13,16.45
93.9,2368,10.67,17.96
95.72,2125,7.3,17.19
93.95,1937,15.21,9.62
95.6,2063,18.26,9.86
90.5,2360,14.43,13.55
92.83,1925,13.2,12.23
93.51,1818,11.67,4.96
92.52,1818,14.1,-4.14
94.1,2207,18.59,17.29
94.95,2484,11.7,16.82
94.6,2419,3.84,15.01
89.92,2137,2.6,19.98
93.85,2180,14.85,13.92
91.88,2126,10.05,10.98
92.54,1927,15.41,6.5
92.79,2197,10.92,15.93
93.04,2204,4.83,19.45
94.07,2125,13.89,7.02
95.19,2366,13,16.24
93.37,2350,11.06,15.67
95.48,2331,1.66,16.29
92.63,1865,8.8,12.51
94.51,2409,1.72,17.67
94.01,2506,4.84,15.64
95.28,2351,3.56,14.61
90.87,2200,14.14,14.7
98.93,2502,7.88,18.33
91.45,2315,11.66,15.87
95.36,2278,5.46,14.85
87.5,2199,5.24,16.77
94.76,2343,11.44,17.41
94.2,1993,13.92,3.71
89.88,1961,11.23,12.27
93.06,1983,11.67,1.09
92.5,2226,12.84,15.19
91.38,2169,5.41,15.14
96.03,2104,6.64,16.83
94.17,2076,12.8,14.31
95.86,2052,7.61,12.1
91.38,2452,5.78,20.6
98.3,2552,4.85,20.43
88.02,2421,15.44,19.14
93.27,2275,13.05,14.94
95.57,2092,10.83,16.54
94.83,2095,11.56,12.94
94.96,2237,16.34,14.14
92.36,2416,12.45,2.76
95.78,2601,-3.01,10.51
94.31,2245,6.66,20.65
93.38,2131,3.67,18.23
91.6,2243,16.76,12.27
90.03,2218,11.03,14.65
98.21,2116,11.92,13.26
96.78,2365,12.97,14.4
94.56,2398,11.53,14.89
91.95,2433,4.93,19.5
95.02,2088,18.56,4.69
95.66,2442,7.68,15.16
93.94,2215,2.88,14.93
95.2,2531,3.29,19.87
93.68,2492,5.55,17.58
94.77,2192,6.36,18.63
94.36,2517,7.15,20.23
94.49,2401,5.61,19.44
96.42,2170,14.23,7.14
92.72,2419,-0.22,18.52
95.52,2272,13.09,9.81
96.65,2043,17.24,2.99
94.11,2343,7.96,17.49
94.95,2301,10.63,14.29
97.86,2446,5.86,19.49
94.42,2297,10.82,14.4
101.41,2490,8.35,15.57
93.56,2385,0.92,16.56
95.42,2539,5.73,18.34
91.64,1940,13.78,8.79
94.41,2118,7.65,12.77
94.18,2184,12.65,12.89
93.83,2355,5.1,19.39
93.42,2219,10.76,15.44
95.19,2136,10.06,15.81
92.23,2164,6.32,18.29
93.82,2153,8.57,14.78
93.36,1957,16,4.99
91.13,2112,2.92,19.8
95.35,2339,6.4,16.01
94.04,2213,10.86,13.92
97.64,2257,10.41,12.71
92.96,2213,6.25,16.65
94.27,1943,15.86,6.69
93.14,2289,9.43,15.06
95.35,2013,13.36,13.02
95.48,2141,14.23,14.32
94.53,2336,7.8,12.97
92.22,2232,12.75,5.74
95.6,2263,14.95,11.43
95.1,2233,10.76,14
95.39,1956,13.66,-0.63
96.41,2151,19.78,3.46
100.13,2514,9.03,17.95
96.26,2385,6.2,16.31
92.63,2410,0.35,17.98
96.22,2671,7.66,19.06
92.29,2094,10.48,15.73
94.16,2482,2.34,12.72
93.04,2163,15.82,5.1
100.99,2422,7.99,13.76
96.81,2181,13.65,12.94
95.6,2251,15.7,3.54
97.27,2224,3.96,15.44
92.72,2216,10.39,14.12
93.08,2073,11.91,15.81
98.85,2241,17.98,5.6
95.36,2456,8.14,13.4
96.93,2349,15.9,12.64
92.78,2181,14.02,9.19
94.51,2130,14.44,12.03
92.02,2065,5.31,14.49
94.53,2296,6.19,17.45
91.82,2140,6.54,16.35
89.7,2246,11.17,16.43
88.35,2234,4.4,22.82
93.48,2439,8.28,7.49
95.38,2495,4.84,18.95
96.26,2206,2.39,20.87
95.71,2334,4.63,16.75
96.23,2212,16.17,11.85
96.47,2111,12.02,4.72
93.95,2309,4.02,18.41
94.64,2323,12.86,10.11
94.18,2163,6.35,17.09
92.21,2077,15.73,6.27
92.84,2403,6.22,20.13
91.74,2319,12.37,19.55
95.52,2468,10.9,16.56
93.52,2382,7.53,17.92
92.34,2569,7.3,20.57
96.81,2388,1.68,19.65
92.07,2650,6.12,20.04
96.84,2382,6.51,12.39
96.36,2503,13.92,12.7
93.76,2061,8.18,18.91
95.54,2484,8.48,16.11
92.6,2356,5.37,18.9
93.6,2062,0.7,17.49
92.36,2325,6.26,14.86
94.03,2216,10.55,10.85
95.51,2022,5.99,8.48
94.9,1842,4.99,13.63
98.07,2346,-1.06,19.77
98.41,2591,9.1,19.07
96.43,2412,3.16,17.94
94.43,1780,12.87,14.98
93.14,2363,6.86,18.13
93.05,2390,15.36,11.47
95.44,1862,6.98,15.87
92.81,1990,6.82,17.15
96.7,2329,8.06,17.56
94.89,2503,9.93,19.27
93.85,2311,2.88,19.86
94.76,1940,5.01,14.78
97.81,2358,14.78,15.97
95.41,2360,9.64,15.52
92.4,1874,11.4,0.19
90.56,1993,-2.51,17.59
94.56,1988,15,-3.54
94.39,2369,13.89,14.83
94.12,2031,7.13,18.65
95.06,2082,15.59,13.01
95.78,2107,5.77,14.35
93.06,2257,5.48,17.34
92.96,1932,4.94,13.61
91.14,2230,15.66,8.82
94.79,2364,2.97,20.81
95.86,2585,8.87,20.26
93.57,2093,15.33,16.1
96.98,2302,12.55,11.78
91.28,2119,17.22,4.7
97.26,2352,15.98,13.76
92.76,2706,3.31,10.84
94.59,2397,2.65,13.9
93.59,2289,8.96,19.29
97.08,2255,11.92,16.93
97.38,1932,12.45,10.7
93.07,2113,13.14,12.87
94.81,2507,6.85,17.71
93.71,2312,13.69,14.4
91.62,1919,17.17,7.71
89.89,2489,5.31,17.72
93.78,2389,5.58,19.52
94.47,2160,5.22,18.09
97.75,2214,18.53,3.9
93.55,2455,4.81,19.75
93.46,2174,2.22,17.19
89.14,2198,14.34,11.73
94.43,2199,8.65,19.74
93.54,2077,6,4.35
94.79,2266,5.39,19.63
95.4,2231,6.79,16.13
96.26,2379,5.04,18.09
94.49,2217,11.55,16.65
97.81,2376,0.46,16.13
91.6,2329,13.36,16.86
94.19,2307,10.38,16.54
94.04,2196,16.15,6.8
95.69,2335,10.68,13.5
94.57,2110,17.24,10.85
97.4,2483,12.57,17.22
94.44,2327,0.45,19.25
91.72,2469,8.03,18.92
90.88,2035,14.82,8.99
94.37,2217,20.15,6.82
93.6,2162,4.2,18.45
96.58,2603,5.83,12.58
90.18,2354,9.54,12.37
96.18,2097,7.55,16.28
94.83,1972,5.89,14.3
97.18,2223,15.57,14.5
96.86,2107,17.73,10.49
94.19,2351,5.53,16.07
89.35,2350,19.3,11.78
99.18,2395,8.82,17.96
92.05,2397,8.89,16.41
95.86,2286,7.88,16.8
92.57,2148,3.18,20.82
96.93,2205,15.27,4.45
93.4,2406,5.37,15.84
93.84,2016,13.26,4.41
93.03,2555,8.01,20.49
96.74,2327,10.81,17.56
95.73,2046,13.21,11.43
93.87,2684,6.98,21.13
91.64,2326,10.48,12.44
96.64,2134,3.42,18.71
92.01,2079,6.65,15.28
91.72,2348,15.44,16.08
94.84,2263,8.74,15.7
92.19,2059,9.9,12.74
89.69,2515,15.11,18.69
97.92,2212,17.19,2.08
92.51,2484,16.28,16.21
98.56,2328,15.87,7.46
94.47,2262,6.43,20.39
94.39,2123,4.57,13.74
93.48,2194,11.27,15.61
98.12,1983,8.21,15.35
96.17,2133,13.56,13.18
96.89,2267,9.02,12.52
96.66,2122,6.46,18.52
96.23,2313,13.02,15.21
93.32,2086,9.44,18.33
96.45,2315,12.3,13.38
88.97,2255,13.22,20
89.11,2306,15.33,13.01
93.52,2139,9.19,14.76
93.35,2246,11.65,14.32
92.73,2323,6.98,20.05
96.25,2087,19.53,4.52
96.75,2272,16.93,10.34
95.54,2229,1.83,10.03
91.89,2075,15.7,5.06
91.54,2204,4.23,16.4
94.17,2123,14.57,11.06
92.83,2421,15.17,14
94.65,2282,-4.66,6.28
91.51,2133,5.33,19.77
93.87,2054,19.72,4.32
94.3,2670,9.79,17.38
96.25,2248,5.68,15.6
94.21,2443,4.47,17.14
94.14,2295,4.54,18.81
87.7,2085,15.51,11.86
93.14,2161,18.72,13.09
97.5,2548,1.5,20.45
96,2285,10.05,14.44
92.26,2274,5.79,16.62
91.14,1865,11.89,9.39
93.1,2475,10.48,19.16
95.5,2237,10.79,15.53
96.17,2113,13.09,17.08
97.2,2192,15.17,8.77
94.82,2243,12.89,3.43
93.8,2151,11.07,12.91
91.97,2137,0.59,20.71
94.37,1849,0.83,12.54
94.57,2194,9.62,17.16
96.92,2249,13.19,10.96
94.18,2087,14.69,5.74
92.04,2044,13.82,11.82
90.02,1950,14.26,9.67
95.58,2145,4.11,12.87
93.86,2321,8.16,18.02
94.04,2141,13.07,12.5
94.59,2142,15.63,12.34
90.77,1798,6.9,10.41
95.48,2197,4.7,19.67
95,2301,13.19,13.98
93.59,2135,4.98,15.44
93.25,2481,6.21,16.34
91.61,2318,4.09,18.88
94.78,2098,9.95,17.31
95.19,2069,2.2,13.13
94.82,2124,7.16,14.21
92.67,2134,13.65,6.16
92.2,2305,8.05,15.4
96.47,2389,13.77,14.58
92.67,2051,6.89,17.1
91.58,2406,3.87,11.4
96.61,2240,4.98,18.43
95.85,2319,6.83,21.45
93.32,1896,17.85,8.99
96.73,2156,5.28,14.51
92.77,2519,6.9,17.89
94.95,2319,6.22,17.02
92.46,2307,1.63,18.11
93.3,2103,13.03,13.99
90.44,2306,7.46,20.26
93.65,2041,8.25,17.52
92.83,2063,8,15.99
94.74,2146,2.55,19.87
92.84,2056,15.29,10.15
90.65,2017,2.38,17.52
95.23,2663,7.51,21.57
86.98,2183,6.51,9.18
91.83,2161,10.3,15.78
99.46,2471,7.09,18.43
91.37,2058,13.27,0.88
92.84,1945,23.48,5.22
89.08,2203,4.18,15.29
93.67,2018,-2.48,14.33
97.41,2515,1.85,20.23
89.47,1933,3.15,13.75
96.62,2025,12.8,15.7
91.71,2292,6.46,21.14
93.38,1976,13.9,9.55
96.97,2177,11.44,13.95
94.06,2070,4.99,16.74
95.59,2247,14.07,3.17
88.15,2199,4.71,16.47
98.32,2534,4.27,17.51
96.8,2075,13.35,-3.49
93.68,2191,11.62,17.29
93.76,2197,12.95,15.9
93.36,2224,7.49,3.02
97.07,2167,14.62,10.63
96.75,1918,10.76,16.11
85.98,1850,15.83,10.64
97.47,2410,5.69,12.32
93.31,2172,6.14,18.61
92.96,2313,12.71,13.55
91.57,1926,4.34,17.13
97.44,2499,3.66,16.34
90.46,2335,10.84,12.22
91.56,2248,8.45,15.49
94.64,2739,9.53,16.79
93.08,2327,9.61,20.22
95.21,NULL,11.77,19.73
94.03,1952,11.15,13.24
92.82,2372,2.37,16.81
97.59,2206,15.96,11.04
93.93,2326,8.54,17.41
94.78,2237,5.97,17.82
90.29,2279,4.43,20.09
93.4,2313,6.25,18.1
96.04,1901,17.76,9.19
90.9,2196,7.56,14.14
93.06,1824,6.02,16.16
93.63,2224,12.03,15.32
95.76,2049,14.3,13.14
97.72,2333,6.36,15.4
96.47,2112,13.49,4.26
92.35,2434,7.07,17.82
93.56,2154,11.06,9.03
94.21,2102,8.93,15.22
96.72,2004,13.29,10.72
93.95,2119,8.11,12.01
91.21,2534,-4.29,10.59
91.58,2346,9.21,10.64
92.48,1974,13.62,6.25
94.81,2291,7.02,15.48
96.34,2223,18.75,8.17
97.71,2453,5.97,18.32
93.19,2086,16.72,14.53
94.26,2288,11.42,17.47
95.16,2493,4.7,19.75
92.24,2355,11.07,15.7
89.74,2337,2.06,11.1
94.02,2328,9.85,15.79
99.2,2384,15.19,12.38
92.3,2068,10.73,17.35
96.9,2157,11.69,16
93.61,2197,11.95,16.59
93.39,2237,7.41,5.8
94.86,2002,14.73,6.46
95.38,2003,11.49,11.29
93.17,2533,11.4,18.48
87.34,1864,13.52,7.27
92.91,2164,14.99,9.32
92,1854,16.17,1.95
95.39,2320,4.97,17.22
92.47,2132,11.28,14.72
89.82,1894,16.5,10.64
95.82,2068,17.31,7.3
87.53,2345,0.63,15.38
94.55,2130,4.13,13.56
89.95,2356,2.97,22.26
92.57,2306,14.16,11.31
89.63,2078,14.76,2.94
95.8,2291,10,17.22
93.02,2284,8.15,12.39
96.58,2569,7.73,18.97
96.87,2188,11.39,14.38
97.18,2080,3.12,12.01
92.79,2012,4.4,13.08
92.17,2278,-1.38,20.03
86.68,2169,13.04,9.25
94.62,2281,9.17,15.6
95.04,2240,12.02,16.56
93.32,2188,12.67,13.46
93.61,2180,8.88,17.47
93.34,2524,-0.23,10.55
93.3,2129,17.29,5.68
94.86,2036,10.43,15.76
89.59,2252,4.74,22.9
92.3,2028,13.47,1.01
93.98,2450,12.22,21.31
91.31,2360,17.5,4.17
91.52,2299,3.5,16.98
96.74,2355,6.29,17.37
92.31,2000,8.83,12.92
96.04,1957,17.06,13.45
98.48,2430,10.38,18.03
93.08,2079,11.62,11.32
87.18,1937,15.72,10.96
93.67,2402,9.11,20.22
97.69,2246,8.66,16.74
92.68,2219,5.42,17.8
94.11,2498,2.52,18.58
94.03,2351,0.58,17.83
95.44,2230,13.49,13.36
92.85,2185,3.94,19.7
89.68,2149,4.17,16.77
89.72,2315,0.74,13.12
93.22,2329,5.13,20.23
93.97,2020,19.07,10.11
96.51,2244,15.55,2.34
94.71,2299,11.62,15.92
91.68,2145,9.47,16.72
92.96,2068,13.43,-0.21
97.11,2138,10.66,15.01
100.24,2273,14.36,6.93
95.49,2177,13.42,11.55
88.49,2008,11.61,11.47
94.85,2355,5.51,17.68
90.9,2213,1.75,19.17
93.47,2159,16.35,10.82
90.44,2277,13.69,11.04
97.79,2231,6.22,18.1
93.95,2513,1.38,12.02
85.81,2178,19.92,5.77
94.42,2184,5.8,16.51
98.53,2283,8.1,18.28
93.44,2171,16.59,10.06
96.45,2196,11.44,10.74
93.51,2461,8.77,21.19
89.62,2141,17.31,8.57
93.11,2566,11.7,15.54
95.76,2698,9.35,17.25
93.39,2269,11.68,15.24
96.35,2300,4.44,19.57
94.16,2727,12.34,11.76
92.24,2389,5.34,-0.48
85.1,2077,19.74,8.96
94.23,2211,15.4,8.71
95.36,2327,4.57,11.86
94.79,2216,10.08,18.62
95.93,2069,15.33,10.03
93.36,1937,7.02,14.39
97.1,2652,4.91,16
93.58,2288,2.15,19.35
95.52,2054,10.61,12.13
95.7,2173,16.42,9.11
95.52,2229,7.93,18.3
96.5,2456,2.4,18.7
89.25,2093,13.35,17.65
90.24,2104,16.19,7.36
97.69,2483,3.22,20.39
91.27,2227,13.44,13.48
96.21,2324,7.59,11.86
93.56,2279,8.89,15.75
92.42,2187,8.08,15.63
92.93,2396,8.85,17.48
97.55,2117,5.79,18.23
96.63,2550,11.72,17.61
96.08,2451,14.92,13.85
96.6,2293,4.58,19.09
94.7,2339,8.4,19.79
94.53,2230,9.53,17.98
96.55,2574,5.7,20.16
93.77,2353,6.56,16.27
100.34,2178,12.76,6.6
93.05,2283,11.11,17.43
96.6,2102,5.24,19.71
91.78,2034,14.09,12.25
92.68,2389,13.91,14.11
95.49,2092,7.21,14.61
90.95,1871,7,12.68
94.69,2184,11.19,14.16
97.46,2348,12.65,14.98
97.72,2086,15.43,11.69
90.15,1877,18.01,7.6
94.18,1754,10.8,11.79
92.84,2349,6.43,17.59
95.1,2518,5.46,20.31
100.84,2518,8.14,17.19
91.61,2495,15.21,10.12
99.09,2561,1.07,18.92
93.39,2357,12.35,17.71
97.52,2151,13.68,13.11
92.78,1883,18.53,9.51
92.88,1922,8.32,13.84
95.19,2516,5.65,18.37
93.25,2102,7.92,15.78
95.56,2270,1.17,19.62
97.39,2716,4.08,20.21
94.1,2446,4.17,18.47
93.26,2517,6.04,14.12
95.17,2269,6.39,16.98
94.31,3015,6.88,18.04
93.86,2006,16.37,8.22
89.06,2099,6.72,19.69
89.9,1900,3.3,18.48
91.42,2211,12.1,14.6
96.39,2074,13.49,12.21
95.51,2426,4.91,16.82
92.41,2356,11.85,15.46
94,2095,17.1,9.33
92.73,2372,5.59,21.16
93.08,2065,17,3.43
98.19,2388,17.7,10.6
75.69,1872,5.91,15.77
94.78,2512,1.89,19.6
91.22,2176,3.74,18.42
93.58,2490,8.12,20.19
96.25,2117,5.5,18.27
95.8,2199,15.2,9.53
98.56,2267,11.54,13.44
93.27,2687,2.5,14.41
91.4,1849,7.42,12.77
93.45,2420,8.32,19.52
88.33,2272,0.44,15.46
96.64,2329,15.18,2.38
93.91,2312,14.91,11.33
93.3,2403,15.42,13.91
96.3,2320,7.22,15.41
94.59,2152,16.42,7.77
93.04,2427,15.15,16.77
96.99,2416,13.33,15.15
90.53,2176,3.44,4.47
87.44,1982,3.43,18.49
91.26,2000,12.67,8.93
95.33,2558,0.94,19.08
91.49,2348,4.66,16.51
86.46,2101,13.72,10.45
94.17,2499,9.55,16.97
97.4,2377,5.63,14.71
89.97,2195,20.53,12.86
92.06,2064,13.4,12.11
93.08,1813,11.11,17.14
93.53,2414,4.32,18.88
95.9,1880,6.12,15.84
93.24,2489,16.4,15.45
96.16,2632,5.32,18.09
92.64,2347,4.78,18.65
94.42,2198,12.37,11.57
94.07,2050,13.83,11.65
94.45,2522,1.53,14.99
92.24,2244,10.7,17.02
90.35,2050,4.02,18.35
95.77,2368,8.01,16.71
